RACE,SCIENTIFIC,COMMON,ECOPATH_Num,ECOPATH_Name
10285,Pleuronectes quadrituberculatus,Alaska plaice,45,AK Plaice
43006,(blank),purple striated sea anemone,96,Anemones
43007,(blank),red striated sea anemone,96,Anemones
43001,Actinauge verrilli,reticulate anemone,96,Anemones
43005,Actinernus sp.,(blank),96,Anemones
43000,Actiniaria,sea anemone unid.,96,Anemones
43080,Actiniidae,actinid sea anemones unid.,96,Anemones
43003,Actinoscyphia sp.,(blank),96,Anemones
43002,Actinostola faeculenta,rough purple sea anemone,96,Anemones
43110,Actinostola sp.,(blank),96,Anemones
43111,Actinostola sp. A (Clark 2006),(blank),96,Anemones
43112,Actinostola sp. B (Clark 2006),(blank),96,Anemones
43100,Actinostolidae,(blank),96,Anemones
43009,Corallimorphus sp.,(blank),96,Anemones
43082,Cribrinopsis fernaldi,chevron-tentacled anemone,96,Anemones
43200,Hormathiidae,(blank),96,Anemones
43090,Liponema brevicorne,tentacle-shedding anemone,96,Anemones
43021,Metridium farcimen,gigantic anemone,96,Anemones
43020,Metridium senile,clonal plumose anemone,96,Anemones
43010,Metridium sp.,(blank),96,Anemones
43050,Oceanactis diomedeae,grape anemone,96,Anemones
43051,Oceanactis sp.,(blank),96,Anemones
43032,Stomphia coccinea,swimming anemone,96,Anemones
43029,Stomphia didemon,cowardly anemone,96,Anemones
43030,Stomphia sp.,(blank),96,Anemones
43044,Urticina columbiana,crusty red anemone,96,Anemones
43042,Urticina crassicornis,mottled anemone,96,Anemones
43043,Urticina lofotensis,spotted red anemone,96,Anemones
43040,Urticina sp.,(blank),96,Anemones
10110,Atheresthes stomias,arrowtooth flounder,37,Arrowtooth
21921,Pleurogrammus monopterygius,Atka mackerel,68,Atka mackerel
68560,Chionoecetes bairdi,Tanner crab,84,Bairdi
20614,Bathylagidae,deepsea smelt unid.,77,Bathylagidae
20620,Bathylagus milleri,robust blacksmelt,77,Bathylagidae
20624,Bathylagus ochotensis,popeye blacksmelt,77,Bathylagidae
20615,Bathylagus pacificus,Pacific blacksmelt,77,Bathylagidae
20619,Bathylagus sp.,blacksmelt unid.,77,Bathylagidae
20622,Leuroglossus schmidti,northern smoothtongue,77,Bathylagidae
